road,roadName,vulnerableUserAccidents
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7511838,Langenhorst,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6844718,Anklaarseweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6598905,Westzijde,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6613791,Amstel,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_149784137,Schuttersveld,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_48228794,Jasonweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_49772237,Aelbrechtskade,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_315069732,Schiedamsedijk,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_26173468,Spuiboulevard,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_431682696,Rutger van Herpenstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_144552860,Franciscus Romanusweg,2
