id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
18595,0021hrl1780ra,RWS01_MONIBAS_0021hrl1780ra,302,H,3,,5.559273379068749,51.34155838993708,POINT (5.559273379068749 51.34155838993708),sensor:telpunt_941,CountingPoint
18594,0671hrl0315ra,RWS01_MONIBAS_0671hrl0315ra,261,H,3,,5.612591162721734,51.42027975232758,POINT (5.612591162721734 51.42027975232758),sensor:telpunt_942,CountingPoint
18593,10D0040B945E6020000F,RWS01_MONICA_10D0040B945E6020000F,168,H,3,,4.37808709314989,51.89009201851621,POINT (4.37808709314989 51.89009201851621),sensor:telpunt_943,CountingPoint
18592,0011hrl1667ra,RWS01_MONIBAS_0011hrl1667ra,260,H,3,,6.885259748648703,52.29454718339455,POINT (6.885259748648703 52.29454718339455),sensor:telpunt_944,CountingPoint
18591,0501hrr2021rb,RWS01_MONIBAS_0501hrr2021rb,10,H,3,,6.027902071871481,52.171922971396604,POINT (6.027902071871481 52.171922971396604),sensor:telpunt_945,CountingPoint
18590,10D0040B945E6020000B,RWS01_MONICA_10D0040B945E6020000B,168,H,3,,4.37808709314989,51.89009201851621,POINT (4.37808709314989 51.89009201851621),sensor:telpunt_946,CountingPoint
18589,0150vwp0573ra,RWS01_MONIBAS_0150vwp0573ra,79,H,3,,4.481216526317446,51.862348627736516,POINT (4.481216526317446 51.862348627736516),sensor:telpunt_947,CountingPoint
18588,0141hrr0139ra,RWS01_MONIBAS_0141hrr0139ra,138,H,3,,4.382883875010971,52.081563436687844,POINT (4.382883875010971 52.081563436687844),sensor:telpunt_948,CountingPoint
18587,0021hrl1180ra,RWS01_MONIBAS_0021hrl1180ra,57,H,3,,5.342093967469082,51.677075754104884,POINT (5.342093967469082 51.677075754104884),sensor:telpunt_949,CountingPoint
18586,00D00223C05A00200007,RWS01_MONICA_00D00223C05A00200007,205,H,3,,5.823918713871401,51.07168129618183,POINT (5.823918713871401 51.07168129618183),sensor:telpunt_950,CountingPoint
18585,0061hrl0596ra,RWS01_MONIBAS_0061hrl0596ra,237,H,3,,5.324218092014241,52.39100072333862,POINT (5.324218092014241 52.39100072333862),sensor:telpunt_951,CountingPoint
18584,10D0090AE400D007000B,RWS01_MONICA_10D0090AE400D007000B,47,H,3,,4.736018333560338,52.608629160171645,POINT (4.736018333560338 52.608629160171645),sensor:telpunt_952,CountingPoint
18583,10D0090AE400D0070007,RWS01_MONICA_10D0090AE400D0070007,47,H,3,,4.736018333560338,52.608629160171645,POINT (4.736018333560338 52.608629160171645),sensor:telpunt_953,CountingPoint
18582,00D01007A050D007000B,RWS01_MONICA_00D01007A050D007000B,149,H,3,,4.661038483994898,51.68451777871254,POINT (4.661038483994898 51.68451777871254),sensor:telpunt_954,CountingPoint
18581,00D0321EAC2DD0050185,RWS01_MONICA_00D0321EAC2DD0050185,231,H,3,,5.974606326521107,52.132322882703136,POINT (5.974606326521107 52.132322882703136),sensor:telpunt_955,CountingPoint
18580,00D01B0D4C23D0050009,RWS01_MONICA_00D01B0D4C23D0050009,202,H,3,,5.152747204928145,52.133772413500026,POINT (5.152747204928145 52.133772413500026),sensor:telpunt_956,CountingPoint
18579,0061hrl0504ra,RWS01_MONIBAS_0061hrl0504ra,260,H,3,,5.213490763737946,52.35433062566509,POINT (5.213490763737946 52.35433062566509),sensor:telpunt_957,CountingPoint
18578,00D04C022832D0050105,RWS01_MONICA_00D04C022832D0050105,293,H,3,,5.911469268381799,50.91166286567314,POINT (5.911469268381799 50.91166286567314),sensor:telpunt_958,CountingPoint
